*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Solar Charge Board production1
*Date=19:02:55
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
244;;;71.755;-88.3234;0;Bottom;Copper Fill54
245;;;63.5254;-59.723;0;Bottom;Copper Fill148
246;;;74.5236;-79.1032;0;Bottom;Copper Fill83
247;;;24.3748;-93.8958;0;Bottom;Via55
248;100 nF;1206 [SMD, multilayer];90.3747;-65.1958;-90;Top;C20
249;;;69.0372;-52.0776;0;Bottom;Copper Fill181
250;;;82.4992;-88.3488;0;Bottom;Copper Fill55
251;100 nF;1206 [SMD, multilayer];46.3747;-65.1958;-90;Top;C16
252;;THT;8.1249;-57.8558;0;Bottom;J3
253;100 nF;1206 [SMD, multilayer];79.3749;-65.1958;-90;Top;C19
254;;;75.8698;-51.1378;0;Bottom;Copper Fill182
255;;;99.1248;-111.646;0;Bottom;Hole1
256;;;17.8748;-88.1458;0;Bottom;Via80
257;;;69.0372;-43.9242;0;Bottom;Copper Fill213
258;;;41.783;-87.0788;0;Bottom;Copper Fill57
259;;;89.9414;-77.3252;0;Bottom;Copper Fill90
260;100 nF;1206 [SMD, multilayer];46.3748;-57.1958;-90;Top;C21
261;;;89.9668;-61.1962;0;Bottom;Copper Fill143
262;;;71.501;-72.0674;0;Bottom;Copper Fill106
263;;;63.2968;-24.4424;0;Bottom;Copper Fill277
264;;5050;41.7748;-89.4457;0;Top;RGB01
265;;;70.0786;-78.6206;0;Bottom;Copper Fill88
266;;;81.3562;-70.3148;0;Bottom;Copper Fill115
267;100 nF;1206 [SMD, multilayer];90.6248;-89.4458;-90;Top;C5
268;;;48.5648;-42.4764;0;Bottom;Copper Fill217
269;100 nF;1206 [SMD, multilayer];46.3748;-21.4458;-90;Top;C41
270;;;65.8368;-49.9694;0;Bottom;Copper Fill185
271;;5050;52.5248;-32.9456;0;Top;RGB37
272;;;50.3428;-49.2836;0;Bottom;Copper Fill187
273;;;90.7542;-81.44;0;Bottom;Copper Fill76
274;;;26.5048;-39.1073;0;Bottom;Arduino Nano
275;100 nF;1206 [SMD, multilayer];79.3749;-21.4458;-90;Top;C44
276;;;85.5218;-62.8472;0;Bottom;Copper Fill136
277;;;49.5554;-80.3224;0;Bottom;Copper Fill77
278;;;74.5236;-54.8462;0;Bottom;Copper Fill170
279;;;48.4886;-86.5962;0;Bottom;Copper Fill61
280;100 nF;1206 [SMD, multilayer];90.3747;-73.1958;-90;Top;C15
281;;;74.5236;-62.8472;0;Bottom;Copper Fill135
